m,n,k,time
100,100,100,0.000120074
100,100,200,0.000260005
100,100,300,0.000411303
100,100,400,0.000605043
100,100,500,0.000622933
100,100,600,0.000861193
100,100,700,0.00100265
100,100,800,0.00110602
100,100,900,0.00128082
100,100,1000,0.00144773
100,200,100,0.000207823
100,200,200,0.000465111
100,200,300,0.000721491
100,200,400,0.000947891
100,200,500,0.0011831
100,200,600,0.00154623
100,200,700,0.0017142
100,200,800,0.00200615
100,200,900,0.0022339
100,200,1000,0.00250859
100,300,100,0.000353016
100,300,200,0.000709244
100,300,300,0.00100814
100,300,400,0.0014001
100,300,500,0.00173778
100,300,600,0.00215092
100,300,700,0.00250153
100,300,800,0.00294954
100,300,900,0.00328298
100,300,1000,0.00379551
100,400,100,0.000483604
100,400,200,0.000926704
100,400,300,0.00140525
100,400,400,0.00193485
100,400,500,0.0024193
100,400,600,0.00300541
100,400,700,0.00351945
100,400,800,0.00422925
100,400,900,0.0046984
100,400,1000,0.00542526
100,500,100,0.000601521
100,500,200,0.00131361
100,500,300,0.00192625
100,500,400,0.00269336
100,500,500,0.00324114
100,500,600,0.00410241
100,500,700,0.00464942
100,500,800,0.005456
100,500,900,0.00615862
100,500,1000,0.00982088
100,600,100,0.000721629
100,600,200,0.00146739
100,600,300,0.00342096
100,600,400,0.0041229
100,600,500,0.00390012
100,600,600,0.00516985
100,600,700,0.00592421
100,600,800,0.00634305
100,600,900,0.00671706
100,600,1000,0.00776789
100,700,100,0.000832859
100,700,200,0.00171185
100,700,300,0.00260003
100,700,400,0.00344933
100,700,500,0.00438833
100,700,600,0.00522267
100,700,700,0.00610584
100,700,800,0.00719191
100,700,900,0.00856641
100,700,1000,0.00927594
100,800,100,0.00096385
100,800,200,0.00209036
100,800,300,0.00293144
100,800,400,0.00473974
100,800,500,0.00624907
100,800,600,0.00710272
100,800,700,0.00742346
100,800,800,0.0108447
100,800,900,0.0091953
100,800,1000,0.0108772
100,900,100,0.00115608
100,900,200,0.00241643
100,900,300,0.00360516
100,900,400,0.00484861
100,900,500,0.00607737
100,900,600,0.0073603
100,900,700,0.00811466
100,900,800,0.00959978
100,900,900,0.010488
100,900,1000,0.0126687
100,1000,100,0.00122781
100,1000,200,0.00256492
100,1000,300,0.00415763
100,1000,400,0.00561906
100,1000,500,0.00695907
100,1000,600,0.00821515
100,1000,700,0.00971399
100,1000,800,0.0116841
100,1000,900,0.0126964
100,1000,1000,0.0145216
200,100,100,0.000205509
200,100,200,0.000384162
200,100,300,0.00056646
200,100,400,0.000750599
200,100,500,0.000884843
200,100,600,0.00112945
200,100,700,0.00130883
200,100,800,0.00153807
200,100,900,0.00167245
200,100,1000,0.00184586
200,200,100,0.000357744
200,200,200,0.000739787
200,200,300,0.00108042
200,200,400,0.00154858
200,200,500,0.00183993
200,200,600,0.00229688
200,200,700,0.00258617
200,200,800,0.00306615
200,200,900,0.00336396
200,200,1000,0.00382532
200,300,100,0.000528579
200,300,200,0.00109193
200,300,300,0.00170492
200,300,400,0.00234153
200,300,500,0.00285344
200,300,600,0.00341853
200,300,700,0.00388789
200,300,800,0.00485077
200,300,900,0.00506444
200,300,1000,0.00607242
200,400,100,0.000747727
200,400,200,0.00154983
200,400,300,0.00271007
200,400,400,0.00411873
200,400,500,0.00437322
200,400,600,0.00479001
200,400,700,0.00530123
200,400,800,0.00627715
200,400,900,0.00728659
200,400,1000,0.00811675
200,500,100,0.000982466
200,500,200,0.00211182
200,500,300,0.00305111
200,500,400,0.00407539
200,500,500,0.00496644
200,500,600,0.00656915
200,500,700,0.00789022
200,500,800,0.00917204
200,500,900,0.00981383
200,500,1000,0.0110687
200,600,100,0.00113945
200,600,200,0.00276087
200,600,300,0.00353767
200,600,400,0.00471261
200,600,500,0.0062049
200,600,600,0.00768074
200,600,700,0.00872165
200,600,800,0.0101157
200,600,900,0.0108506
200,600,1000,0.0122111
200,700,100,0.00145041
200,700,200,0.00276732
200,700,300,0.00398619
200,700,400,0.00584441
200,700,500,0.00744109
200,700,600,0.00958232
200,700,700,0.0124949
200,700,800,0.0111174
200,700,900,0.0125615
200,700,1000,0.015605
200,800,100,0.00157815
200,800,200,0.00316395
200,800,300,0.00469609
200,800,400,0.00654355
200,800,500,0.00830042
200,800,600,0.00937187
200,800,700,0.0112695
200,800,800,0.0133567
200,800,900,0.014716
200,800,1000,0.0181664
200,900,100,0.00170995
200,900,200,0.00349456
200,900,300,0.00522383
200,900,400,0.0072456
200,900,500,0.0088397
200,900,600,0.0124338
200,900,700,0.0141525
