m,n,k,time
100,100,100,0.00360652
100,100,200,0.000143613
100,100,300,0.000619481
100,100,400,0.000452636
100,100,500,0.000722335
100,100,600,0.000365801
100,100,700,0.00041644
100,100,800,0.000777021
100,100,900,0.000566827
100,100,1000,0.000601236
100,200,100,9.24349e-05
100,200,200,0.000163117
100,200,300,0.000256779
100,200,400,0.000315021
100,200,500,0.000417186
100,200,600,0.000507987
100,200,700,0.000638298
100,200,800,0.000770771
100,200,900,0.000919607
100,200,1000,0.00103197
100,300,100,0.000206706
100,300,200,0.000408061
100,300,300,0.000622093
100,300,400,0.000805745
100,300,500,0.001696
100,300,600,0.000931474
100,300,700,0.00120658
100,300,800,0.00130892
100,300,900,0.00145544
100,300,1000,0.00165497
100,400,100,0.000189529
100,400,200,0.00035711
100,400,300,0.000523163
100,400,400,0.000726703
100,400,500,0.00097517
100,400,600,0.00128181
100,400,700,0.00143826
100,400,800,0.0018102
100,400,900,0.00199168
100,400,1000,0.00229258
100,500,100,0.000366534
100,500,200,0.000714694
100,500,300,0.00102891
100,500,400,0.00142974
100,500,500,0.00166621
100,500,600,0.00162089
100,500,700,0.00206888
100,500,800,0.0022414
100,500,900,0.0041103
100,500,1000,0.00282819
100,600,100,0.000273609
100,600,200,0.00053187
100,600,300,0.000905204
100,600,400,0.00118477
100,600,500,0.00158443
100,600,600,0.00183286
100,600,700,0.00210164
100,600,800,0.0024374
100,600,900,0.00289831
100,600,1000,0.00310237
100,700,100,0.000515862
100,700,200,0.00100121
100,700,300,0.00156852
100,700,400,0.00206075
100,700,500,0.0030275
100,700,600,0.00323353
100,700,700,0.00505388
100,700,800,0.0029673
100,700,900,0.00358608
100,700,1000,0.00370896
100,800,100,0.00036219
100,800,200,0.000762197
100,800,300,0.00124304
100,800,400,0.00166661
100,800,500,0.00214805
100,800,600,0.00250656
100,800,700,0.00289551
100,800,800,0.0052746
100,800,900,0.00414411
100,800,1000,0.00478323
100,900,100,0.000644921
100,900,200,0.00133256
100,900,300,0.0019984
100,900,400,0.00266267
100,900,500,0.00293647
100,900,600,0.0030815
100,900,700,0.00349174
100,900,800,0.00407859
100,900,900,0.00490862
100,900,1000,0.00621917
100,1000,100,0.000538041
100,1000,200,0.00118562
100,1000,300,0.00241711
100,1000,400,0.00270148
100,1000,500,0.00334508
100,1000,600,0.00386747
100,1000,700,0.00647695
100,1000,800,0.00593792
100,1000,900,0.00927013
100,1000,1000,0.00684006
200,100,100,0.000169571
200,100,200,0.000222381
200,100,300,0.000306719
200,100,400,0.000396585
200,100,500,0.000503713
200,100,600,0.000467023
200,100,700,0.000644067
200,100,800,0.000590438
200,100,900,0.000875517
200,100,1000,0.000692089
200,200,100,0.00014605
200,200,200,0.000458663
200,200,300,0.00042344
200,200,400,0.000531593
200,200,500,0.000858776
200,200,600,0.000799652
200,200,700,0.00102683
200,200,800,0.00141407
200,200,900,0.00160476
200,200,1000,0.00204843
200,300,100,0.000305293
200,300,200,0.000630787
