m,n,k,time
100,100,100,0.00336264
100,100,200,0.000354042
100,100,300,0.000191246
100,100,400,0.000504642
100,100,500,0.000316921
100,100,600,0.00050438
100,100,700,0.000445213
100,100,800,0.00048564
100,100,900,0.000708239
100,100,1000,0.00166607
100,200,100,0.000109637
100,200,200,0.000652408
100,200,300,0.000645163
100,200,400,0.000757718
100,200,500,0.000415716
100,200,600,0.000941662
100,200,700,0.000646799
100,200,800,0.000945773
100,200,900,0.000989257
100,200,1000,0.00108611
100,300,100,0.000401442
100,300,200,0.000420631
100,300,300,0.000610573
100,300,400,0.000903804
100,300,500,0.00118254
100,300,600,0.000976875
100,300,700,0.00119052
100,300,800,0.00129234
100,300,900,0.00160589
100,300,1000,0.00158172
100,400,100,0.000177573
100,400,200,0.000345003
100,400,300,0.000507597
100,400,400,0.000750549
100,400,500,0.00102216
100,400,600,0.00122018
100,400,700,0.0013909
100,400,800,0.00173101
100,400,900,0.00186966
100,400,1000,0.00312571
100,500,100,0.000382782
100,500,200,0.000688823
100,500,300,0.00104353
100,500,400,0.00142977
100,500,500,0.00161955
100,500,600,0.00242343
100,500,700,0.00183617
100,500,800,0.00328276
100,500,900,0.00374096
100,500,1000,0.00284446
100,600,100,0.000272323
100,600,200,0.000510002
100,600,300,0.00087119
100,600,400,0.00120757
100,600,500,0.0015349
100,600,600,0.00198094
100,600,700,0.00220356
100,600,800,0.00247172
100,600,900,0.00301878
100,600,1000,0.00340517
100,700,100,0.000497048
100,700,200,0.00100133
100,700,300,0.00181727
100,700,400,0.00240748
100,700,500,0.0037054
100,700,600,0.00328122
100,700,700,0.00362826
100,700,800,0.00739985
100,700,900,0.00351371
100,700,1000,0.00535101
100,800,100,0.000361228
100,800,200,0.000754202
100,800,300,0.00122793
100,800,400,0.00162495
100,800,500,0.00340288
100,800,600,0.00266672
100,800,700,0.00294549
100,800,800,0.00350357
100,800,900,0.00406766
100,800,1000,0.00472573
100,900,100,0.000689524
100,900,200,0.00136885
100,900,300,0.00193079
100,900,400,0.00350927
100,900,500,0.00320684
100,900,600,0.00297639
100,900,700,0.00357686
100,900,800,0.00409939
100,900,900,0.00532056
100,900,1000,0.00558086
100,1000,100,0.000920168
100,1000,200,0.00157836
100,1000,300,0.00162062
100,1000,400,0.00207171
100,1000,500,0.00293912
100,1000,600,0.0033671
100,1000,700,0.00416016
100,1000,800,0.00674665
100,1000,900,0.00724387
100,1000,1000,0.00767333
200,100,100,0.000112178
200,100,200,0.000249299
200,100,300,0.00032201
200,100,400,0.000389152
200,100,500,0.000442883
200,100,600,0.000474946
200,100,700,0.000569383
200,100,800,0.000703463
200,100,900,0.00187354
200,100,1000,0.00074051
200,200,100,0.000186518
200,200,200,0.000317386
200,200,300,0.000427759
200,200,400,0.000685162
200,200,500,0.000748463
200,200,600,0.000890839
200,200,700,0.00101573
200,200,800,0.00131312
200,200,900,0.00172896
200,200,1000,0.0020965
200,300,100,0.000324973
200,300,200,0.00063019
200,300,300,0.000928258
200,300,400,0.0011696
200,300,500,0.00139552
200,300,600,0.00222407
200,300,700,0.00380262
200,300,800,0.00238115
200,300,900,0.00284744
200,300,1000,0.00305352
200,400,100,0.000702382
200,400,200,0.00111807
200,400,300,0.00090986
200,400,400,0.00127853
200,400,500,0.00205645
200,400,600,0.00228891
200,400,700,0.00277839
200,400,800,0.00580584
200,400,900,0.00385542
200,400,1000,0.00567403
200,500,100,0.000550901
200,500,200,0.00101909
200,500,300,0.00150984
200,500,400,0.00240386
200,500,500,0.00360061
200,500,600,0.00317118
200,500,700,0.00501631
200,500,800,0.00538448
200,500,900,0.00704186
200,500,1000,0.0067981
200,600,100,0.00879601
200,600,200,0.00189884
200,600,300,0.00165154
200,600,400,0.00228295
200,600,500,0.00294314
200,600,600,0.00383033
200,600,700,0.00440434
200,600,800,0.004962
200,600,900,0.00572373
200,600,1000,0.00832929
200,700,100,0.000777051
200,700,200,0.00145596
200,700,300,0.00372198
200,700,400,0.00331728
200,700,500,0.00396248
200,700,600,0.00441422
200,700,700,0.00617738
200,700,800,0.00725911
200,700,900,0.00919437
200,700,1000,0.00965355
200,800,100,0.000657672
200,800,200,0.00241784
200,800,300,0.00253962
200,800,400,0.00338309
200,800,500,0.0040682
200,800,600,0.00524231
200,800,700,0.00639976
200,800,800,0.00795024
200,800,900,0.00941897
200,800,1000,0.0105073
200,900,100,0.000968186
200,900,200,0.00296372
200,900,300,0.00340029
200,900,400,0.00441534
200,900,500,0.00507211
200,900,600,0.00566568
200,900,700,0.00880151
200,900,800,0.0104411
200,900,900,0.0105393
200,900,1000,0.0120947
200,1000,100,0.00083335
200,1000,200,0.00193281
200,1000,300,0.00311945
200,1000,400,0.00405655
200,1000,500,0.00540013
200,1000,600,0.00776412
200,1000,700,0.00827625
200,1000,800,0.0103942
200,1000,900,0.0136014
200,1000,1000,0.0133998
300,100,100,0.000763626
300,100,200,0.000345762
300,100,300,0.000630584
300,100,400,0.000527599
300,100,500,0.000645863
300,100,600,0.000689576
300,100,700,0.000825001
300,100,800,0.000968568
300,100,900,0.00113059
300,100,1000,0.00124167
300,200,100,0.000256479
300,200,200,0.000478149
300,200,300,0.000731575
300,200,400,0.000924717
300,200,500,0.00118939
300,200,600,0.00141402
300,200,700,0.00171551
300,200,800,0.0021714
300,200,900,0.00254793
300,200,1000,0.00313656
300,300,100,0.0004679
300,300,200,0.00086455
300,300,300,0.00127481
300,300,400,0.00169531
300,300,500,0.00208397
300,300,600,0.00350313
300,300,700,0.00300279
300,300,800,0.00376798
300,300,900,0.0049107
300,300,1000,0.00526717
300,400,100,0.00049706
300,400,200,0.00101616
300,400,300,0.00209172
300,400,400,0.00225064
300,400,500,0.00286526
300,400,600,0.00352634
300,400,700,0.00441283
300,400,800,0.00501621
300,400,900,0.00612241
300,400,1000,0.0152652
300,500,100,0.00110015
300,500,200,0.0018462
300,500,300,0.00266209
300,500,400,0.00384093
300,500,500,0.00401924
300,500,600,0.00479032
300,500,700,0.00649808
300,500,800,0.00802248
300,500,900,0.00905853
300,500,1000,0.0102234
300,600,100,0.000761926
300,600,200,0.00377004
300,600,300,0.00307253
300,600,400,0.00374149
300,600,500,0.00469275
300,600,600,0.00611394
300,600,700,0.00847369
300,600,800,0.0090511
300,600,900,0.0108419
300,600,1000,0.0130596
300,700,100,0.00103421
300,700,200,0.00217337
300,700,300,0.00336035
300,700,400,0.00497957
300,700,500,0.00592973
300,700,600,0.00821215
300,700,700,0.0093472
300,700,800,0.0108744
300,700,900,0.0117887
300,700,1000,0.0150205
300,800,100,0.000943384
300,800,200,0.00216446
300,800,300,0.00354167
300,800,400,0.00513091
300,800,500,0.00900185
300,800,600,0.00916869
300,800,700,0.0114198
300,800,800,0.0126475
300,800,900,0.0124957
300,800,1000,0.0170338
300,900,100,0.00131044
300,900,200,0.00277048
300,900,300,0.00472814
300,900,400,0.00676388
300,900,500,0.00875464
300,900,600,0.0110331
300,900,700,0.0133081
300,900,800,0.0161365
300,900,900,0.0163497
300,900,1000,0.0172395
300,1000,100,0.00122655
300,1000,200,0.00285333
300,1000,300,0.00469205
300,1000,400,0.00700922
300,1000,500,0.00922135
300,1000,600,0.0118982
300,1000,700,0.0143716
300,1000,800,0.0155115
300,1000,900,0.0172091
300,1000,1000,0.0202688
400,100,100,0.000235169
400,100,200,0.00038483
400,100,300,0.000609225
400,100,400,0.000737892
400,100,500,0.00087794
400,100,600,0.00101445
400,100,700,0.00118016
400,100,800,0.00130854
400,100,900,0.00147504
400,100,1000,0.00168341
400,200,100,0.00034822
400,200,200,0.000848427
400,200,300,0.000960717
400,200,400,0.00117487
400,200,500,0.00182018
400,200,600,0.00178663
400,200,700,0.00236888
400,200,800,0.00283726
400,200,900,0.0042631
400,200,1000,0.00426423
400,300,100,0.000592167
400,300,200,0.00112349
400,300,300,0.00203304
400,300,400,0.00270736
400,300,500,0.00571804
400,300,600,0.00332911
400,300,700,0.00532272
400,300,800,0.00503576
400,300,900,0.00706906
400,300,1000,0.0071504
400,400,100,0.00103349
400,400,200,0.00124248
400,400,300,0.00190292
400,400,400,0.010352
400,400,500,0.00487663
400,400,600,0.00499999
400,400,700,0.00692455
400,400,800,0.00811489
400,400,900,0.00944386
400,400,1000,0.0110792
400,500,100,0.00102589
400,500,200,0.00311407
400,500,300,0.00364602
400,500,400,0.00543927
400,500,500,0.0052429
400,500,600,0.0076727
400,500,700,0.00936585
400,500,800,0.0102262
400,500,900,0.0127328
400,500,1000,0.0131256
400,600,100,0.00144946
400,600,200,0.00194392
400,600,300,0.0031252
400,600,400,0.00457811
400,600,500,0.00647543
400,600,600,0.00951391
400,600,700,0.0130425
400,600,800,0.0120934
400,600,900,0.0147216
400,600,1000,0.0154307
400,700,100,0.00142471
400,700,200,0.00271538
400,700,300,0.0044342
400,700,400,0.00618145
400,700,500,0.00949578
400,700,600,0.00986259
400,700,700,0.0131511
400,700,800,0.0162822
400,700,900,0.0161163
400,700,1000,0.0197408
400,800,100,0.00130873
400,800,200,0.00277113
400,800,300,0.00479777
400,800,400,0.00761042
400,800,500,0.00993542
400,800,600,0.0130379
400,800,700,0.0151922
400,800,800,0.0184837
400,800,900,0.0208136
400,800,1000,0.0210848
400,900,100,0.00173854
400,900,200,0.00358045
400,900,300,0.00618525
400,900,400,0.00986419
400,900,500,0.0116787
400,900,600,0.0144405
400,900,700,0.0181405
400,900,800,0.0191854
400,900,900,0.0209618
400,900,1000,0.0288522
400,1000,100,0.00155586
400,1000,200,0.0037029
400,1000,300,0.0065754
400,1000,400,0.0131273
400,1000,500,0.0123388
400,1000,600,0.0160443
400,1000,700,0.0182632
400,1000,800,0.0208075
400,1000,900,0.0232996
400,1000,1000,0.030885
500,100,100,0.000288575
500,100,200,0.000458845
500,100,300,0.000690662
500,100,400,0.000824231
500,100,500,0.00116875
500,100,600,0.00165478
500,100,700,0.00134852
500,100,800,0.00168303
500,100,900,0.00240273
500,100,1000,0.00884014
500,200,100,0.000661257
500,200,200,0.00160743
500,200,300,0.00364342
500,200,400,0.00347909
500,200,500,0.00377421
500,200,600,0.00467607
500,200,700,0.00922996
500,200,800,0.00647506
500,200,900,0.00451051
500,200,1000,0.00623875
500,300,100,0.000727947
500,300,200,0.00139398
500,300,300,0.00215448
500,300,400,0.00426189
500,300,500,0.00352747
500,300,600,0.00542835
500,300,700,0.00615891
500,300,800,0.0073633
