m,n,k,time
100,100,100,0.00410521
100,100,200,0.008241519999999999
100,100,300,0.0136607
100,100,400,0.0166917
100,100,500,0.021165
100,100,600,0.0250453
100,100,700,0.0310757
100,100,800,0.033094700000000005
100,100,900,0.0378845
100,100,1000,0.040840299999999996
100,200,100,0.007835390000000001
100,200,200,0.016403400000000002
100,200,300,0.0251172
100,200,400,0.032326
100,200,500,0.0404056
100,200,600,0.0492338
100,200,700,0.0575461
100,200,800,0.0671516
100,200,900,0.0771738
100,200,1000,0.0828161
100,300,100,0.0115993
100,300,200,0.0242293
100,300,300,0.0371647
100,300,400,0.0490407
100,300,500,0.0614281
100,300,600,0.07621339999999999
100,300,700,0.0888146
100,300,800,0.10344400000000001
100,300,900,0.11567
100,300,1000,0.127444
100,400,100,0.015966
100,400,200,0.0329355
100,400,300,0.0506533
100,400,400,0.07024559999999999
100,400,500,0.0888193
100,400,600,0.103573
100,400,700,0.130565
100,400,800,0.141003
100,400,900,0.159656
100,400,1000,0.17241800000000002
100,500,100,0.021238600000000003
100,500,200,0.0435821
100,500,300,0.0669858
100,500,400,0.09354309999999999
100,500,500,0.11097199999999999
100,500,600,0.13140000000000002
100,500,700,0.163476
100,500,800,0.191229
100,500,900,0.214568
100,500,1000,0.22244999999999998
100,600,100,0.0257701
100,600,200,0.0527626
100,600,300,0.08152670000000001
100,600,400,0.112018
100,600,500,0.13483699999999998
100,600,600,0.15773900000000002
100,600,700,0.195409
100,600,800,0.21671600000000002
100,600,900,0.25642200000000004
100,600,1000,0.257142
100,700,100,0.030263
100,700,200,0.0627043
100,700,300,0.0959122
100,700,400,0.125135
100,700,500,0.153566
100,700,600,0.18694999999999998
100,700,700,0.22893799999999997
100,700,800,0.250071
100,700,900,0.28994600000000004
100,700,1000,0.326653
100,800,100,0.0351952
100,800,200,0.0724828
100,800,300,0.10805
100,800,400,0.14194900000000002
100,800,500,0.182036
100,800,600,0.225654
100,800,700,0.30250499999999997
100,800,800,0.29386599999999996
100,800,900,0.328106
100,800,1000,0.363656
100,900,100,0.039262099999999994
100,900,200,0.0810539
100,900,300,0.122798
